threshold,model,treat_all,treat_none
0.25747474747474747,-0.16344350157483717,-0.3149356487583986,0.0
0.26242424242424245,-0.166107852674594,-0.3237595116437947,0.0
0.2673737373737374,-0.16820388234119532,-0.3327025994792484,0.0
0.2723232323232323,-0.17027648184668226,-0.3417673450892543,0.0
0.2772727272727273,-0.1713013164975863,-0.3509562479417175,0.0
0.2822222222222222,-0.17346357780861887,-0.360271876445678,0.0
0.2871717171717172,-0.17479542155456995,-0.3697168703447624,0.0
0.2921212121212121,-0.17629332213649643,-0.37929394321104287,0.0
0.29707070707070704,-0.17824414739349995,-0.3890058850442575,0.0
0.302020202020202,-0.1790268236198672,-0.3988555649816192,0.0
0.30696969696969695,-0.1816729127541364,-0.4088459341237411,0.0
0.31191919191919193,-0.18342433793868382,-0.41898002848252913,0.0
0.31686868686868686,-0.1866357758738716,-0.4292609720572214,0.0
0.32181818181818184,-0.18736282737392101,-0.43969198004512783,0.0
0.32676767676767676,-0.1883071342548281,-0.45027636219399675,0.0
0.3317171717171717,-0.18911891293369834,-0.46101752630335363,0.0
0.33666666666666667,-0.18982845260786693,-0.471918981882593,0.0
0.3416161616161616,-0.1910961177554484,-0.4829843439740699,0.0
0.3465656565656566,-0.19127020368484962,-0.49421733714994404,0.0
0.3515151515151515,-0.19374321146799398,-0.5056217996920542,0.0
0.3564646464646465,-0.19442675373103666,-0.5172016879646819,0.0
0.3614141414141414,-0.1964576255230675,-0.5289610809906656,0.0
0.36636363636363634,-0.19660431222297348,-0.5409041852419875,0.0
0.3713131313131313,-0.19738695348127136,-0.5530353396566497,0.0
0.37626262626262624,-0.19833403136488437,-0.565359020894411,0.0
0.3812121212121212,-0.19617471164298145,-0.5778798488447581,0.0
0.38616161616161615,-0.19701926595073735,-0.5906025924013474,0.0
0.3911111111111111,-0.19696376467078705,-0.6035321755180801,0.0
0.39606060606060606,-0.19762976291861872,-0.6166736835629684,0.0
0.401010101010101,-0.19735677411434815,-0.6300323699870132,0.0
0.40595959595959596,-0.2000169170454543,-0.643613663326473,0.0
0.4109090909090909,-0.19777919682134243,-0.6574231745581255,0.0
0.41585858585858587,-0.19715966271864357,-0.6714667048284608,0.0
0.4208080808080808,-0.1978013338019592,-0.6857502535791746,0.0
0.4257575757575757,-0.19552529510677089,-0.7002800270928738,0.0
0.4307070707070707,-0.1954698267930935,-0.7150624474845614,0.0
0.43565656565656563,-0.1953125767923667,-0.7301041621662766,0.0
0.4406060606060606,-0.19468347564510752,-0.7454120538141907,0.0
0.44555555555555554,-0.19583355728058927,-0.760993250869555,0.0
0.4505050505050505,-0.19641180226880026,-0.776855138607167,0.0
0.45545454545454545,-0.19211243942117237,-0.7930053708074546,0.0
0.46040404040404037,-0.19299529069859175,-0.8094518820709448,0.0
0.46535353535353535,-0.19335050341193785,-0.8262029008167369,0.0
0.4703030303030303,-0.1906985103939258,-0.8432669630097229,0.0
0.47525252525252526,-0.19016529057682688,-0.8606529266646753,0.0
0.4802020202020202,-0.1912944076392084,-0.8783699871789716,0.0
0.4851515151515151,-0.18997690024257374,-0.8964276935497326,0.0
0.4901010101010101,-0.19097734545299988,-0.9148359655354573,0.0
0.495050505050505,-0.18630035074703313,-0.9336051118269627,0.0
0.5,-0.18773946360153257,-0.9527458492975733,0.0
